ID,Tarea,Fecha de Entrega,Prioridad,Estado,Repeticion
2,definir plan de trabajo IsoSealTech SAS,2026-06-04,Alta (Urgente),Pendiente,No repetir
2,hacer dos contactos diarios,2026-06-04,Media (Importante),Pendiente,Cada semana
